samples_per_class,accuracy,label,precision,recall,f1-score,support
25,0.6148802017654477,0,0.6308851224105462,0.938,0.7543831429950136,5000
25,0.6148802017654477,1,0.375,0.06348122866894199,0.1085814360770578,2930
50,0.6992433795712484,0,0.7140284825667048,0.8724,0.7853092087496625,5000
50,0.6992433795712484,1,0.6496430532674354,0.4037542662116041,0.4980004209640076,2930
75,0.6970996216897857,0,0.7248182762201454,0.8376,0.7771386156986454,5000
75,0.6970996216897857,1,0.6226765799256505,0.4573378839590443,0.5273514364423455,2930
100,0.7123581336696091,0,0.7219591836734693,0.8844,0.7949662921348315,5000
100,0.7123581336696091,1,0.6797783933518006,0.4187713310580205,0.5182682154171067,2930
125,0.7233291298865069,0,0.7221342621912603,0.9122,0.8061152350653942,5000
125,0.7233291298865069,1,0.7280049566294919,0.401023890784983,0.5171654929577465,2930
150,0.7266078184110971,0,0.7174447174447175,0.9344,0.8116747741487144,5000
150,0.7266078184110971,1,0.768688293370945,0.3720136518771331,0.5013799448022079,2930
175,0.7345523329129886,0,0.7198845511165123,0.9478,0.8182681516014849,5000
175,0.7345523329129886,1,0.8062360801781737,0.3706484641638225,0.5078325929389759,2930
200,0.7384615384615385,0,0.7200661853188929,0.9574,0.8219436813186813,5000
200,0.7384615384615385,1,0.8338533541341654,0.3648464163822526,0.5075973409306742,2930
225,0.7438839848675914,0,0.7223970037453183,0.9644,0.8260385438972163,5000
225,0.7438839848675914,1,0.8581673306772908,0.3675767918088737,0.5146953405017921,2930
250,0.7475409836065574,0,0.723397913561848,0.9708,0.8290350128095645,5000
250,0.7475409836065574,1,0.8803278688524591,0.3665529010238908,0.5175903614457832,2930
275,0.7481715006305171,0,0.722873682648063,0.974,0.8298543068927324,5000
275,0.7481715006305171,1,0.8910310142497905,0.3627986348122867,0.5156439485811303,2930
300,0.7498108448928121,0,0.7228132387706856,0.9784,0.831407205982325,5000
300,0.7498108448928121,1,0.9070567986230637,0.3597269624573379,0.5151515151515151,2930
325,0.7508196721311475,0,0.721830985915493,0.984,0.8327691266079892,5000
325,0.7508196721311475,1,0.9281867145421903,0.352901023890785,0.5113748763600395,2930
350,0.7525851197982345,0,0.7204644412191582,0.9928,0.8349873843566021,5000
